379673;AIF975;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
379673;AIF975;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
379673;AIF975;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
378574;ZEB976;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
378574;ZEB976;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
378574;ZEB976;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
378574;ZEB976;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
378574;ZEB976;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
306764;FXJ670;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
306764;FXJ670;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
306764;FXJ670;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
306764;FXJ670;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
306764;FXJ670;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
27891;RVR248;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
27891;RVR248;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
27891;RVR248;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
27891;RVR248;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
27891;RVR248;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
173697;HCR659;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
173697;HCR659;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
173697;HCR659;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
173697;HCR659;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
173697;HCR659;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
320920;IJB208;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
320920;IJB208;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
320920;IJB208;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
320920;IJB208;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
320920;IJB208;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
330556;DLI387;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
330556;DLI387;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
330556;DLI387;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
