CODIGO DE CLIENTE;CODIGO UNICO;PUNTOS;FECHA;OBSERVACIONES;MOTIVO
561;XSC624;500;31/01/2017;Volumen Enero;VOLUMEN
640;CRI120;500;31/01/2017;Volumen Enero;VOLUMEN
10508;LUO825;500;31/01/2017;Volumen Enero;VOLUMEN
10872;BFP375;500;31/01/2017;Volumen Enero;VOLUMEN
11264;BJF498;500;31/01/2017;Volumen Enero;VOLUMEN
11293;GHQ806;500;31/01/2017;Volumen Enero;VOLUMEN
150146;ZHY568;500;31/01/2017;Volumen Enero;VOLUMEN
150620;VIW303;500;31/01/2017;Volumen Enero;VOLUMEN
150753;IVD874;500;31/01/2017;Volumen Enero;VOLUMEN
151018;ECQ980;500;31/01/2017;Volumen Enero;VOLUMEN
151309;QAG997;500;31/01/2017;Volumen Enero;VOLUMEN
151679;KMZ133;500;31/01/2017;Volumen Enero;VOLUMEN
151857;QSG106;500;31/01/2017;Volumen Enero;VOLUMEN
152210;WFJ539;500;31/01/2017;Volumen Enero;VOLUMEN
159250;KAQ606;500;31/01/2017;Volumen Enero;VOLUMEN
159342;OJX855;500;31/01/2017;Volumen Enero;VOLUMEN
9052;AXS860;500;31/01/2017;Volumen Enero;VOLUMEN
9345;KMO435;500;31/01/2017;Volumen Enero;VOLUMEN
10187;MSB255;500;31/01/2017;Volumen Enero;VOLUMEN
3614;OKZ218;500;31/01/2017;Volumen Enero;VOLUMEN
5094;VDT803;500;31/01/2017;Volumen Enero;VOLUMEN
9073;QCM175;500;31/01/2017;Volumen Enero;VOLUMEN
9583;GTB742;500;31/01/2017;Volumen Enero;VOLUMEN
9964;NJO678;500;31/01/2017;Volumen Enero;VOLUMEN
2019;ONP856;500;31/01/2017;Volumen Enero;VOLUMEN
2231;CTE309;500;31/01/2017;Volumen Enero;VOLUMEN
262;IGX709;500;31/01/2017;Volumen Enero;VOLUMEN
369;WGQ895;500;31/01/2017;Volumen Enero;VOLUMEN
3867;EUB872;500;31/01/2017;Volumen Enero;VOLUMEN
662;MAI626;500;31/01/2017;Volumen Enero;VOLUMEN
4436;LVQ680;500;31/01/2017;Volumen Enero;VOLUMEN
10968;NDO444;500;31/01/2017;Volumen Enero;VOLUMEN
11776;HLC375;500;31/01/2017;Volumen Enero;VOLUMEN
1215;VWU142;500;31/01/2017;Volumen Enero;VOLUMEN
12186;TZR992;500;31/01/2017;Volumen Enero;VOLUMEN
13418;YOU293;500;31/01/2017;Volumen Enero;VOLUMEN
13573;WVR498;500;31/01/2017;Volumen Enero;VOLUMEN
14461;MFI360;500;31/01/2017;Volumen Enero;VOLUMEN
14731;HGO400;500;31/01/2017;Volumen Enero;VOLUMEN
15183;MIO156;500;31/01/2017;Volumen Enero;VOLUMEN
15680;DMY137;500;31/01/2017;Volumen Enero;VOLUMEN
16564;SHL959;500;31/01/2017;Volumen Enero;VOLUMEN
16854;LRY846;500;31/01/2017;Volumen Enero;VOLUMEN
18008;PIH769;500;31/01/2017;Volumen Enero;VOLUMEN
18534;OUT168;500;31/01/2017;Volumen Enero;VOLUMEN
18772;OCM833;500;31/01/2017;Volumen Enero;VOLUMEN
18792;TMX462;500;31/01/2017;Volumen Enero;VOLUMEN
18847;DJJ980;500;31/01/2017;Volumen Enero;VOLUMEN
2685;DSD234;500;31/01/2017;Volumen Enero;VOLUMEN
2701;AHT561;500;31/01/2017;Volumen Enero;VOLUMEN
3296;FLF248;500;31/01/2017;Volumen Enero;VOLUMEN
3363;CDN888;500;31/01/2017;Volumen Enero;VOLUMEN
3963;WOD979;500;31/01/2017;Volumen Enero;VOLUMEN
4086;KFX252;500;31/01/2017;Volumen Enero;VOLUMEN
4658;QCV966;500;31/01/2017;Volumen Enero;VOLUMEN
4754;ECT556;500;31/01/2017;Volumen Enero;VOLUMEN
5841;AIT169;500;31/01/2017;Volumen Enero;VOLUMEN
6444;XOV952;500;31/01/2017;Volumen Enero;VOLUMEN
6587;BNG254;500;31/01/2017;Volumen Enero;VOLUMEN
7000;CTL653;500;31/01/2017;Volumen Enero;VOLUMEN
993;KEP715;500;31/01/2017;Volumen Enero;VOLUMEN
18542;AXA697;500;31/01/2017;Volumen Enero;VOLUMEN
21062;ZPB408;500;31/01/2017;Volumen Enero;VOLUMEN
27495;QJT180;500;31/01/2017;Volumen Enero;VOLUMEN
28784;ERR849;500;31/01/2017;Volumen Enero;VOLUMEN
28790;WSJ570;500;31/01/2017;Volumen Enero;VOLUMEN
30649;QSE343;500;31/01/2017;Volumen Enero;VOLUMEN
33444;KZZ171;500;31/01/2017;Volumen Enero;VOLUMEN
34471;GSV425;500;31/01/2017;Volumen Enero;VOLUMEN
35674;JIZ933;500;31/01/2017;Volumen Enero;VOLUMEN
39535;UPR188;500;31/01/2017;Volumen Enero;VOLUMEN
