CODIGO CLIENTE;CODIGO UNICO;PUNTOS;FECHA;OBSERVACIONES;MOTIVO;;;;
343255;OJA630;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
343255;OJA630;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
343255;OJA630;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
343255;OJA630;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
379673;AIF975;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
379673;AIF975;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
379673;AIF975;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
379673;AIF975;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
379673;AIF975;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
378574;ZEB976;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
378574;ZEB976;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
378574;ZEB976;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
378574;ZEB976;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
378574;ZEB976;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
306764;FXJ670;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
306764;FXJ670;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
306764;FXJ670;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
306764;FXJ670;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
306764;FXJ670;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
27891;RVR248;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
27891;RVR248;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
27891;RVR248;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
27891;RVR248;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
27891;RVR248;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
173697;HCR659;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
173697;HCR659;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
173697;HCR659;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
173697;HCR659;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
173697;HCR659;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
320920;IJB208;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
320920;IJB208;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
320920;IJB208;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
320920;IJB208;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
320920;IJB208;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
330556;DLI387;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
330556;DLI387;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
330556;DLI387;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
330556;DLI387;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
330556;DLI387;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
358066;KPN366;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
358066;KPN366;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
358066;KPN366;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
358066;KPN366;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
358066;KPN366;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
365076;THS835;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
365076;THS835;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
365076;THS835;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
365076;THS835;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
365076;THS835;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
342256;ESG251;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
342256;ESG251;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
342256;ESG251;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
342256;ESG251;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
342256;ESG251;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
355269;GJH210;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
355269;GJH210;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
355269;GJH210;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
355269;GJH210;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
355269;GJH210;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
100526;KVY651;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
100526;KVY651;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
100526;KVY651;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
100526;KVY651;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
100526;KVY651;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
120712;RGR548;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
120712;RGR548;150;28/2/2017;Cobertura Febrero;COBERTURA;;;;
120712;RGR548;150;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
120712;RGR548;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
120712;RGR548;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
136572;IQJ698;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
136572;IQJ698;150;28/2/2017;Cobertura Febrero;COBERTURA;;;;
136572;IQJ698;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
136572;IQJ698;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
136572;IQJ698;300;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
137569;CIW298;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
137569;CIW298;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
137569;CIW298;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
137569;CIW298;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
137569;CIW298;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
142094;LQF734;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
142094;LQF734;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
142094;LQF734;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
142094;LQF734;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
142094;LQF734;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
145610;GEZ668;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
145610;GEZ668;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
145610;GEZ668;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
145610;GEZ668;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
145610;GEZ668;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
149414;OYC474;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
149414;OYC474;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
149414;OYC474;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
149414;OYC474;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
149414;OYC474;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
159356;XCK818;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
159356;XCK818;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
159356;XCK818;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
159356;XCK818;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
159356;XCK818;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
168009;OSJ733;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
168009;OSJ733;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
168009;OSJ733;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
168009;OSJ733;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
168009;OSJ733;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
168650;WWD550;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
168650;WWD550;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
168650;WWD550;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
168650;WWD550;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
168650;WWD550;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
171236;GUJ267;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
171236;GUJ267;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
171236;GUJ267;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
171236;GUJ267;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
171236;GUJ267;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
171445;DLJ962;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
171445;DLJ962;250;28/2/2017;Cobertura Febrero;COBERTURA;;;;
171445;DLJ962;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
171445;DLJ962;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
171445;DLJ962;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
171497;LJD199;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
171497;LJD199;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
171497;LJD199;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
171497;LJD199;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
171497;LJD199;300;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
173080;OLD340;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
173080;OLD340;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
173080;OLD340;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
173080;OLD340;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
173080;OLD340;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
173689;LGG938;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
173689;LGG938;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
173689;LGG938;150;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
173689;LGG938;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
173689;LGG938;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
174099;WYU400;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
174099;WYU400;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
174099;WYU400;150;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
174099;WYU400;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
174099;WYU400;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
174798;XPC647;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
174798;XPC647;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
174798;XPC647;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
174798;XPC647;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
174798;XPC647;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
177849;DOW124;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
177849;DOW124;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
177849;DOW124;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
177849;DOW124;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
177849;DOW124;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
180850;SLD846;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
180850;SLD846;150;28/2/2017;Cobertura Febrero;COBERTURA;;;;
180850;SLD846;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
180850;SLD846;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
180850;SLD846;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
181486;QYC539;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
181486;QYC539;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
181486;QYC539;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
181486;QYC539;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
181486;QYC539;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
184310;WDP630;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
184310;WDP630;150;28/2/2017;Cobertura Febrero;COBERTURA;;;;
184310;WDP630;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
184310;WDP630;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
184310;WDP630;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
185140;QAZ589;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
185140;QAZ589;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
185140;QAZ589;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
185140;QAZ589;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
185140;QAZ589;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
185280;ZPE786;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
185280;ZPE786;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
185280;ZPE786;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
185280;ZPE786;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
185280;ZPE786;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
186392;HYC856;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
186392;HYC856;150;28/2/2017;Cobertura Febrero;COBERTURA;;;;
186392;HYC856;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
186392;HYC856;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
186392;HYC856;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
186593;NPV563;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
186593;NPV563;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
186593;NPV563;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
186593;NPV563;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
186593;NPV563;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
187742;SXT420;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
187742;SXT420;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
187742;SXT420;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
187742;SXT420;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
187742;SXT420;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
188116;KCH676;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
188116;KCH676;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
188116;KCH676;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
188116;KCH676;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
188116;KCH676;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
188218;UNG944;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
188218;UNG944;0;28/2/2017;Cobertura Febrero;COBERTURA;;;;
188218;UNG944;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
188218;UNG944;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
188218;UNG944;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
188565;PLP959;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
188565;PLP959;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
188565;PLP959;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
188565;PLP959;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
188565;PLP959;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
188715;HJL260;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
188715;HJL260;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
188715;HJL260;150;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
188715;HJL260;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
188715;HJL260;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
189869;QUK584;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
189869;QUK584;250;28/2/2017;Cobertura Febrero;COBERTURA;;;;
189869;QUK584;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
189869;QUK584;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
189869;QUK584;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
300336;ZTX991;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
300336;ZTX991;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
300336;ZTX991;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
300336;ZTX991;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
300336;ZTX991;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
301740;HDL765;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
301740;HDL765;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
301740;HDL765;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
301740;HDL765;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
301740;HDL765;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
303203;JMH825;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
303203;JMH825;0;28/2/2017;Cobertura Febrero;COBERTURA;;;;
303203;JMH825;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
303203;JMH825;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
303203;JMH825;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
305103;GFC837;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
305103;GFC837;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
305103;GFC837;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
305103;GFC837;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
305103;GFC837;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
305747;COV990;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
305747;COV990;150;28/2/2017;Cobertura Febrero;COBERTURA;;;;
305747;COV990;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
305747;COV990;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
305747;COV990;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
306784;MPB607;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
306784;MPB607;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
306784;MPB607;150;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
306784;MPB607;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
306784;MPB607;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
306909;ZEA809;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
306909;ZEA809;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
306909;ZEA809;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
306909;ZEA809;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
306909;ZEA809;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
308743;PWZ888;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
308743;PWZ888;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
308743;PWZ888;150;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
308743;PWZ888;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
308743;PWZ888;300;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
308903;NDL941;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
308903;NDL941;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
308903;NDL941;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
308903;NDL941;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
308903;NDL941;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
309143;AQG593;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
309143;AQG593;200;28/2/2017;Cobertura Febrero;COBERTURA;;;;
309143;AQG593;150;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
309143;AQG593;150;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
309143;AQG593;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
309665;QOR404;500;28/2/2017;Volumen Febrero;VOLUMEN;;;;
309665;QOR404;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
309665;QOR404;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
309665;QOR404;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
309665;QOR404;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
310030;BGQ133;0;28/2/2017;Volumen Febrero;VOLUMEN;;;;
310030;BGQ133;100;28/2/2017;Cobertura Febrero;COBERTURA;;;;
310030;BGQ133;0;28/2/2017;Desafío Bienvenida;DESAFIOS;;;;
310030;BGQ133;0;16/2/2017;Sacate una foto con tu gondola de gaseosas;DESAFIOS;;;;
310030;BGQ133;0;31/1/2017;Arma una pila de Brahma;DESAFIOS;;;;
