CODIGO CLIENTE;CODIGO UNICO;PUNTOS;FECHA;OBSERVACIONES;MOTIVO
389652;FGY568;500;28/02/2017;Volumen Febrero;VOLUMEN
389787;UEF762;500;28/02/2017;Volumen Febrero;VOLUMEN
389871;PLP772;500;28/02/2017;Volumen Febrero;VOLUMEN
390238;QOJ450;500;28/02/2017;Volumen Febrero;VOLUMEN
390490;GNG431;500;28/02/2017;Volumen Febrero;VOLUMEN
391340;RBN865;500;28/02/2017;Volumen Febrero;VOLUMEN
391341;SIU996;500;28/02/2017;Volumen Febrero;VOLUMEN
391880;JBC941;500;28/02/2017;Volumen Febrero;VOLUMEN
392593;IFN937;500;28/02/2017;Volumen Febrero;VOLUMEN
392961;MYX210;500;28/02/2017;Volumen Febrero;VOLUMEN
393136;QJS337;500;28/02/2017;Volumen Febrero;VOLUMEN
393221;EEP170;500;28/02/2017;Volumen Febrero;VOLUMEN
394742;DXV743;500;28/02/2017;Volumen Febrero;VOLUMEN
395505;FMF221;500;28/02/2017;Volumen Febrero;VOLUMEN
395677;EBT381;500;28/02/2017;Volumen Febrero;VOLUMEN
396058;EFF890;500;28/02/2017;Volumen Febrero;VOLUMEN
397094;DLK365;500;28/02/2017;Volumen Febrero;VOLUMEN
70446;LLS832;500;28/02/2017;Volumen Febrero;VOLUMEN
91086;DBT660;500;28/02/2017;Volumen Febrero;VOLUMEN
105003;MCJ577;500;28/02/2017;Volumen Febrero;VOLUMEN
137684;XDS110;500;28/02/2017;Volumen Febrero;VOLUMEN
123829;JLL478;500;28/02/2017;Volumen Febrero;VOLUMEN
137970;JGS121;500;28/02/2017;Volumen Febrero;VOLUMEN
146959;YLI731;500;28/02/2017;Volumen Febrero;VOLUMEN
141498;ZTE909;500;28/02/2017;Volumen Febrero;VOLUMEN
148189;IBM216;500;28/02/2017;Volumen Febrero;VOLUMEN
156386;BSV695;500;28/02/2017;Volumen Febrero;VOLUMEN
157988;XOU286;500;28/02/2017;Volumen Febrero;VOLUMEN
172374;PAT944;500;28/02/2017;Volumen Febrero;VOLUMEN
174516;PMK991;500;28/02/2017;Volumen Febrero;VOLUMEN
175654;UIY912;500;28/02/2017;Volumen Febrero;VOLUMEN
180343;BYH797;500;28/02/2017;Volumen Febrero;VOLUMEN
188389;IRF717;500;28/02/2017;Volumen Febrero;VOLUMEN
188404;YRO926;500;28/02/2017;Volumen Febrero;VOLUMEN
189187;EIW612;500;28/02/2017;Volumen Febrero;VOLUMEN
301382;BRV201;500;28/02/2017;Volumen Febrero;VOLUMEN
301593;EHV970;500;28/02/2017;Volumen Febrero;VOLUMEN
189981;YFG182;500;28/02/2017;Volumen Febrero;VOLUMEN
302066;BWE126;500;28/02/2017;Volumen Febrero;VOLUMEN
307993;TLQ547;500;28/02/2017;Volumen Febrero;VOLUMEN
310805;TRX648;500;28/02/2017;Volumen Febrero;VOLUMEN
310899;XEH734;500;28/02/2017;Volumen Febrero;VOLUMEN
312153;SCO907;500;28/02/2017;Volumen Febrero;VOLUMEN
314924;HYZ918;500;28/02/2017;Volumen Febrero;VOLUMEN
313344;VCD358;500;28/02/2017;Volumen Febrero;VOLUMEN
317841;SZF718;500;28/02/2017;Volumen Febrero;VOLUMEN
317936;WRE792;500;28/02/2017;Volumen Febrero;VOLUMEN
319843;HZA679;500;28/02/2017;Volumen Febrero;VOLUMEN
322233;DXW309;500;28/02/2017;Volumen Febrero;VOLUMEN
322529;WTD619;500;28/02/2017;Volumen Febrero;VOLUMEN
323770;IVE642;500;28/02/2017;Volumen Febrero;VOLUMEN
324436;UPX729;500;28/02/2017;Volumen Febrero;VOLUMEN
326943;BOX739;500;28/02/2017;Volumen Febrero;VOLUMEN
327219;UQV376;500;28/02/2017;Volumen Febrero;VOLUMEN
327846;GYW672;500;28/02/2017;Volumen Febrero;VOLUMEN
328238;BSD661;500;28/02/2017;Volumen Febrero;VOLUMEN
328814;KDA999;500;28/02/2017;Volumen Febrero;VOLUMEN
330408;CNI184;500;28/02/2017;Volumen Febrero;VOLUMEN
330649;RGT289;500;28/02/2017;Volumen Febrero;VOLUMEN
331599;HEF389;500;28/02/2017;Volumen Febrero;VOLUMEN
334248;SKR916;500;28/02/2017;Volumen Febrero;VOLUMEN
335240;PQO615;500;28/02/2017;Volumen Febrero;VOLUMEN
335267;GRV277;500;28/02/2017;Volumen Febrero;VOLUMEN
335495;INI717;500;28/02/2017;Volumen Febrero;VOLUMEN
337632;EUH187;500;28/02/2017;Volumen Febrero;VOLUMEN
338924;CJW748;500;28/02/2017;Volumen Febrero;VOLUMEN
342492;UMF122;500;28/02/2017;Volumen Febrero;VOLUMEN
342540;NZV213;500;28/02/2017;Volumen Febrero;VOLUMEN
344786;AFN366;500;28/02/2017;Volumen Febrero;VOLUMEN
351965;GSY357;500;28/02/2017;Volumen Febrero;VOLUMEN
354898;MUZ829;500;28/02/2017;Volumen Febrero;VOLUMEN
354920;LSI332;500;28/02/2017;Volumen Febrero;VOLUMEN
356987;OKX626;500;28/02/2017;Volumen Febrero;VOLUMEN
357950;JVV254;500;28/02/2017;Volumen Febrero;VOLUMEN
357968;RXT972;500;28/02/2017;Volumen Febrero;VOLUMEN
358107;XXF598;500;28/02/2017;Volumen Febrero;VOLUMEN
359567;JJB620;500;28/02/2017;Volumen Febrero;VOLUMEN
359604;XUR295;500;28/02/2017;Volumen Febrero;VOLUMEN
359930;EOX386;500;28/02/2017;Volumen Febrero;VOLUMEN
360199;RMH517;500;28/02/2017;Volumen Febrero;VOLUMEN
365231;JGC990;500;28/02/2017;Volumen Febrero;VOLUMEN
366138;NDB513;500;28/02/2017;Volumen Febrero;VOLUMEN
367129;SXG669;500;28/02/2017;Volumen Febrero;VOLUMEN
368597;BOV227;500;28/02/2017;Volumen Febrero;VOLUMEN
368705;BEO617;500;28/02/2017;Volumen Febrero;VOLUMEN
369978;KKL963;500;28/02/2017;Volumen Febrero;VOLUMEN
370485;DGN986;500;28/02/2017;Volumen Febrero;VOLUMEN
370492;YOX623;500;28/02/2017;Volumen Febrero;VOLUMEN
371354;CHU174;500;28/02/2017;Volumen Febrero;VOLUMEN
371357;ALI884;500;28/02/2017;Volumen Febrero;VOLUMEN
371770;YED419;500;28/02/2017;Volumen Febrero;VOLUMEN
372089;AVN367;500;28/02/2017;Volumen Febrero;VOLUMEN
372511;QOO812;500;28/02/2017;Volumen Febrero;VOLUMEN
372531;UCD235;500;28/02/2017;Volumen Febrero;VOLUMEN
372793;OHU446;500;28/02/2017;Volumen Febrero;VOLUMEN
373102;RQV108;500;28/02/2017;Volumen Febrero;VOLUMEN
373196;VYT653;500;28/02/2017;Volumen Febrero;VOLUMEN
373482;JDX167;500;28/02/2017;Volumen Febrero;VOLUMEN
373848;JTD288;500;28/02/2017;Volumen Febrero;VOLUMEN
374079;XJD795;500;28/02/2017;Volumen Febrero;VOLUMEN
374681;BDV239;500;28/02/2017;Volumen Febrero;VOLUMEN
374864;XBS419;500;28/02/2017;Volumen Febrero;VOLUMEN
374981;POT643;500;28/02/2017;Volumen Febrero;VOLUMEN
377013;CTI792;500;28/02/2017;Volumen Febrero;VOLUMEN
377161;KPD542;500;28/02/2017;Volumen Febrero;VOLUMEN
378879;BBQ631;500;28/02/2017;Volumen Febrero;VOLUMEN
379550;WLF361;500;28/02/2017;Volumen Febrero;VOLUMEN
379555;YNN538;500;28/02/2017;Volumen Febrero;VOLUMEN
379569;ZBZ936;500;28/02/2017;Volumen Febrero;VOLUMEN
381088;CWE173;500;28/02/2017;Volumen Febrero;VOLUMEN
381151;FQQ571;500;28/02/2017;Volumen Febrero;VOLUMEN
381987;MGW999;500;28/02/2017;Volumen Febrero;VOLUMEN
385813;VLY140;500;28/02/2017;Volumen Febrero;VOLUMEN
385962;JOP527;500;28/02/2017;Volumen Febrero;VOLUMEN
386181;RHZ148;500;28/02/2017;Volumen Febrero;VOLUMEN
386290;KDY579;500;28/02/2017;Volumen Febrero;VOLUMEN
386572;DOZ299;500;28/02/2017;Volumen Febrero;VOLUMEN
386987;QLH650;500;28/02/2017;Volumen Febrero;VOLUMEN
387956;DTG702;500;28/02/2017;Volumen Febrero;VOLUMEN
388173;AOF655;500;28/02/2017;Volumen Febrero;VOLUMEN
388368;RLY764;500;28/02/2017;Volumen Febrero;VOLUMEN
388474;IOP558;500;28/02/2017;Volumen Febrero;VOLUMEN
388742;DBH969;500;28/02/2017;Volumen Febrero;VOLUMEN
389081;IQC480;500;28/02/2017;Volumen Febrero;VOLUMEN
389082;EFS735;500;28/02/2017;Volumen Febrero;VOLUMEN
389420;ZEZ565;500;28/02/2017;Volumen Febrero;VOLUMEN
389791;XTB286;500;28/02/2017;Volumen Febrero;VOLUMEN
390421;QXR793;500;28/02/2017;Volumen Febrero;VOLUMEN
391119;GVR580;500;28/02/2017;Volumen Febrero;VOLUMEN
392294;DCZ467;500;28/02/2017;Volumen Febrero;VOLUMEN
392299;TQU274;500;28/02/2017;Volumen Febrero;VOLUMEN
392404;WEE115;500;28/02/2017;Volumen Febrero;VOLUMEN
392727;FZU126;500;28/02/2017;Volumen Febrero;VOLUMEN
395287;JGH720;500;28/02/2017;Volumen Febrero;VOLUMEN
395303;EAY275;500;28/02/2017;Volumen Febrero;VOLUMEN
395379;MWA722;500;28/02/2017;Volumen Febrero;VOLUMEN
395657;NEA595;500;28/02/2017;Volumen Febrero;VOLUMEN
395788;CAI800;500;28/02/2017;Volumen Febrero;VOLUMEN
395809;XZG970;500;28/02/2017;Volumen Febrero;VOLUMEN
395929;GBL900;500;28/02/2017;Volumen Febrero;VOLUMEN
396225;JUY228;500;28/02/2017;Volumen Febrero;VOLUMEN
92104;KUP727;500;28/02/2017;Volumen Febrero;VOLUMEN
1230;IGM261;500;28/02/2017;Volumen Febrero;VOLUMEN
1244;MQH719;500;28/02/2017;Volumen Febrero;VOLUMEN
150;DVZ325;500;28/02/2017;Volumen Febrero;VOLUMEN
1513;EDA510;500;28/02/2017;Volumen Febrero;VOLUMEN
1660;HMW768;500;28/02/2017;Volumen Febrero;VOLUMEN
1963;YGY802;500;28/02/2017;Volumen Febrero;VOLUMEN
1984;BDT664;500;28/02/2017;Volumen Febrero;VOLUMEN
338;OWZ799;500;28/02/2017;Volumen Febrero;VOLUMEN
342;FFR299;500;28/02/2017;Volumen Febrero;VOLUMEN
369;FWM567;500;28/02/2017;Volumen Febrero;VOLUMEN
386;NIT783;500;28/02/2017;Volumen Febrero;VOLUMEN
4283;OZW641;500;28/02/2017;Volumen Febrero;VOLUMEN
517;PTV773;500;28/02/2017;Volumen Febrero;VOLUMEN
547;SDF323;500;28/02/2017;Volumen Febrero;VOLUMEN
640;CRI120;500;28/02/2017;Volumen Febrero;VOLUMEN
10498;NZA908;500;28/02/2017;Volumen Febrero;VOLUMEN
11397;YIM135;500;28/02/2017;Volumen Febrero;VOLUMEN
11625;CDD111;500;28/02/2017;Volumen Febrero;VOLUMEN
11836;UPA327;500;28/02/2017;Volumen Febrero;VOLUMEN
150146;ZHY568;500;28/02/2017;Volumen Febrero;VOLUMEN
150914;WQX941;500;28/02/2017;Volumen Febrero;VOLUMEN
151156;LTY926;500;28/02/2017;Volumen Febrero;VOLUMEN
151612;VWS469;500;28/02/2017;Volumen Febrero;VOLUMEN
151857;QSG106;500;28/02/2017;Volumen Febrero;VOLUMEN
152210;WFJ539;500;28/02/2017;Volumen Febrero;VOLUMEN
152308;TJR194;500;28/02/2017;Volumen Febrero;VOLUMEN
159164;UXZ332;500;28/02/2017;Volumen Febrero;VOLUMEN
159342;OJX855;500;28/02/2017;Volumen Febrero;VOLUMEN
159345;JXZ743;500;28/02/2017;Volumen Febrero;VOLUMEN
159373;CRA191;500;28/02/2017;Volumen Febrero;VOLUMEN
159427;UKI756;500;28/02/2017;Volumen Febrero;VOLUMEN
8935;HIY375;500;28/02/2017;Volumen Febrero;VOLUMEN
9836;QSJ517;500;28/02/2017;Volumen Febrero;VOLUMEN
10187;MSB255;500;28/02/2017;Volumen Febrero;VOLUMEN
3505;LBD755;500;28/02/2017;Volumen Febrero;VOLUMEN
3614;OKZ218;500;28/02/2017;Volumen Febrero;VOLUMEN
5048;HOF601;500;28/02/2017;Volumen Febrero;VOLUMEN
5094;VDT803;500;28/02/2017;Volumen Febrero;VOLUMEN
6831;FTY261;500;28/02/2017;Volumen Febrero;VOLUMEN
7370;MLL533;500;28/02/2017;Volumen Febrero;VOLUMEN
8814;OWC972;500;28/02/2017;Volumen Febrero;VOLUMEN
9073;QCM175;500;28/02/2017;Volumen Febrero;VOLUMEN
9583;GTB742;500;28/02/2017;Volumen Febrero;VOLUMEN
9655;CLB914;500;28/02/2017;Volumen Febrero;VOLUMEN
9683;IUJ499;500;28/02/2017;Volumen Febrero;VOLUMEN
9964;NJO678;500;28/02/2017;Volumen Febrero;VOLUMEN
1700;UEZ476;500;28/02/2017;Volumen Febrero;VOLUMEN
1854;AHC896;500;28/02/2017;Volumen Febrero;VOLUMEN
21;ORG129;500;28/02/2017;Volumen Febrero;VOLUMEN
2231;CTE309;500;28/02/2017;Volumen Febrero;VOLUMEN
230;EFE850;500;28/02/2017;Volumen Febrero;VOLUMEN
369;WGQ895;500;28/02/2017;Volumen Febrero;VOLUMEN
3809;XBE724;500;28/02/2017;Volumen Febrero;VOLUMEN
88;KWW747;500;28/02/2017;Volumen Febrero;VOLUMEN
1371;GIA200;500;28/02/2017;Volumen Febrero;VOLUMEN
4409;IQH267;500;28/02/2017;Volumen Febrero;VOLUMEN
4436;LVQ680;500;28/02/2017;Volumen Febrero;VOLUMEN
5232;NHG276;500;28/02/2017;Volumen Febrero;VOLUMEN
5323;IDF801;500;28/02/2017;Volumen Febrero;VOLUMEN
5731;THA982;500;28/02/2017;Volumen Febrero;VOLUMEN
6251;RXN468;500;28/02/2017;Volumen Febrero;VOLUMEN
6959;SOC535;500;28/02/2017;Volumen Febrero;VOLUMEN
7082;RIL427;500;28/02/2017;Volumen Febrero;VOLUMEN
7413;SGJ280;500;28/02/2017;Volumen Febrero;VOLUMEN
7540;MBP748;500;28/02/2017;Volumen Febrero;VOLUMEN
10366;LAP610;500;28/02/2017;Volumen Febrero;VOLUMEN
10863;DIH115;500;28/02/2017;Volumen Febrero;VOLUMEN
10924;QZJ910;500;28/02/2017;Volumen Febrero;VOLUMEN
10968;NDO444;500;28/02/2017;Volumen Febrero;VOLUMEN
11328;QSU314;500;28/02/2017;Volumen Febrero;VOLUMEN
11776;HLC375;500;28/02/2017;Volumen Febrero;VOLUMEN
11933;BFO710;500;28/02/2017;Volumen Febrero;VOLUMEN
11936;LJM210;500;28/02/2017;Volumen Febrero;VOLUMEN
11956;MEW743;500;28/02/2017;Volumen Febrero;VOLUMEN
1215;VWU142;500;28/02/2017;Volumen Febrero;VOLUMEN
12186;TZR992;500;28/02/2017;Volumen Febrero;VOLUMEN
13418;YOU293;500;28/02/2017;Volumen Febrero;VOLUMEN
1354;CZG213;500;28/02/2017;Volumen Febrero;VOLUMEN
13573;WVR498;500;28/02/2017;Volumen Febrero;VOLUMEN
13946;XPJ209;500;28/02/2017;Volumen Febrero;VOLUMEN
14152;KGY324;500;28/02/2017;Volumen Febrero;VOLUMEN
1511;BZV488;500;28/02/2017;Volumen Febrero;VOLUMEN
15183;MIO156;500;28/02/2017;Volumen Febrero;VOLUMEN
15680;DMY137;500;28/02/2017;Volumen Febrero;VOLUMEN
17107;SLK925;500;28/02/2017;Volumen Febrero;VOLUMEN
18008;PIH769;500;28/02/2017;Volumen Febrero;VOLUMEN
18534;OUT168;500;28/02/2017;Volumen Febrero;VOLUMEN
18772;OCM833;500;28/02/2017;Volumen Febrero;VOLUMEN
18792;TMX462;500;28/02/2017;Volumen Febrero;VOLUMEN
18847;DJJ980;500;28/02/2017;Volumen Febrero;VOLUMEN
2393;DXI208;500;28/02/2017;Volumen Febrero;VOLUMEN
2701;AHT561;500;28/02/2017;Volumen Febrero;VOLUMEN
3296;FLF248;500;28/02/2017;Volumen Febrero;VOLUMEN
3363;CDN888;500;28/02/2017;Volumen Febrero;VOLUMEN
3807;NLN111;500;28/02/2017;Volumen Febrero;VOLUMEN
3963;WOD979;500;28/02/2017;Volumen Febrero;VOLUMEN
4062;EZS291;500;28/02/2017;Volumen Febrero;VOLUMEN
4086;KFX252;500;28/02/2017;Volumen Febrero;VOLUMEN
4252;JKN603;500;28/02/2017;Volumen Febrero;VOLUMEN
4852;XJP184;500;28/02/2017;Volumen Febrero;VOLUMEN
510;XYJ345;500;28/02/2017;Volumen Febrero;VOLUMEN
5841;AIT169;500;28/02/2017;Volumen Febrero;VOLUMEN
6444;XOV952;500;28/02/2017;Volumen Febrero;VOLUMEN
6514;AJT873;500;28/02/2017;Volumen Febrero;VOLUMEN
6587;BNG254;500;28/02/2017;Volumen Febrero;VOLUMEN
6947;AIT133;500;28/02/2017;Volumen Febrero;VOLUMEN
7000;CTL653;500;28/02/2017;Volumen Febrero;VOLUMEN
9176;PFZ396;500;28/02/2017;Volumen Febrero;VOLUMEN
9531;RVH572;500;28/02/2017;Volumen Febrero;VOLUMEN
993;KEP715;500;28/02/2017;Volumen Febrero;VOLUMEN
1278;IHE433;500;28/02/2017;Volumen Febrero;VOLUMEN
13011;WQG799;500;28/02/2017;Volumen Febrero;VOLUMEN
1357;XQB470;500;28/02/2017;Volumen Febrero;VOLUMEN
16929;CYO643;500;28/02/2017;Volumen Febrero;VOLUMEN
18289;AOY283;500;28/02/2017;Volumen Febrero;VOLUMEN
18496;AQZ701;500;28/02/2017;Volumen Febrero;VOLUMEN
18542;AXA697;500;28/02/2017;Volumen Febrero;VOLUMEN
19262;VOE391;500;28/02/2017;Volumen Febrero;VOLUMEN
21318;UJB657;500;28/02/2017;Volumen Febrero;VOLUMEN
22594;QCY474;500;28/02/2017;Volumen Febrero;VOLUMEN
22750;GYT960;500;28/02/2017;Volumen Febrero;VOLUMEN
25239;PBO166;500;28/02/2017;Volumen Febrero;VOLUMEN
2550;TAK487;500;28/02/2017;Volumen Febrero;VOLUMEN
26944;KSU618;500;28/02/2017;Volumen Febrero;VOLUMEN
27208;CAN547;500;28/02/2017;Volumen Febrero;VOLUMEN
27400;UJQ129;500;28/02/2017;Volumen Febrero;VOLUMEN
28139;PZE597;500;28/02/2017;Volumen Febrero;VOLUMEN
28940;XRA199;500;28/02/2017;Volumen Febrero;VOLUMEN
30479;XZO141;500;28/02/2017;Volumen Febrero;VOLUMEN
30649;QSE343;500;28/02/2017;Volumen Febrero;VOLUMEN
31308;MJN421;500;28/02/2017;Volumen Febrero;VOLUMEN
